label,HK1_drl,HK2_drl,HK3_drl,HK4_drl,HK5_drl,HK6_drl,HK7_drl,HK8_drl,HK9_drl,HK10_drl,HK11_drl,HK12_drl,HK1_dtbhk,HK2_dtbhk,HK3_dtbhk,HK4_dtbhk,HK5_dtbhk,HK6_dtbhk,HK7_dtbhk,HK8_dtbhk,HK9_dtbhk,HK10_dtbhk,HK11_dtbhk,HK12_dtbhk,HK1_sotchk,HK2_sotchk,HK3_sotchk,HK4_sotchk,HK5_sotchk,HK6_sotchk,HK7_sotchk,HK8_sotchk,HK9_sotchk,HK10_sotchk,HK11_sotchk,HK12_sotchk,pass_avsc,CCHV_1,CCHV_2,CCHV_3,CCHV_4,CCHV_5,CCHV_6
1,71.0,59.0,49.0,64.0,46.0,84.0,57.0,80.0,,,,50.0,4.21,2.89,5.81,5.26,7.015000000000001,6.16,3.35,7.02,,,,,17.0,19.0,23.0,23.0,12.5,22.0,11.5,18.0,,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
0,62.0,66.0,90.0,90.0,85.0,90.0,98.0,96.0,,,,,5.82,6.05,6.82,6.86,5.59,6.81,7.45,8.23,,,,,15.0,17.0,23.0,21.0,21.0,23.0,17.0,13.0,,,,,False,,,,,,
0,92.0,82.0,68.0,80.0,76.0,75.0,76.0,,70.0,58.0,53.0,,8.79,7.83,8.01,7.45,7.52,6.98,7.15,,,,,,17.0,21.0,23.0,19.0,20.0,16.0,15.0,,,,,,,,,,,,
0,76.0,70.0,86.0,78.0,79.0,90.0,86.0,,45.0,,,,7.35,7.48,8.24,7.34,8.27,7.73,8.49,,,,,,13.0,24.0,27.0,21.0,19.0,18.0,15.0,,,,,,,,,,,,
0,86.0,86.0,86.0,84.0,71.0,74.0,64.0,80.0,,,,,7.36,7.84,8.48,8.28,6.18,8.01,8.0,8.54,,,,,22.0,22.0,21.0,17.0,15.0,19.0,16.0,14.0,,,,,,,,,,,
0,68.0,78.0,91.0,68.0,70.0,80.0,80.0,75.0,,70.0,,,6.77,6.16,7.26,7.34,6.6,7.78,8.0,7.18,,,,,13.0,19.0,21.0,23.0,19.0,22.0,14.0,8.0,,,,,,,,,,,
1,60.0,51.0,75.0,57.0,74.0,58.0,60.0,34.0,71.0,70.0,60.0,,3.89,3.47,7.3149999999999995,6.75,6.84,8.01,5.02,5.18,4.52,4.3,6.0,,22.0,15.0,15.5,17.0,27.0,22.0,20.0,16.0,23.0,8.0,4.0,,,,,,,,
0,67.0,85.0,90.0,85.0,86.0,75.0,81.0,,88.0,,,,8.57,7.16,7.75,7.1,7.38,8.1,8.43,,,,,,19.0,21.0,24.0,20.0,16.0,16.0,15.0,,,,,,True,,,,,,
1,66.0,55.0,91.0,71.0,55.0,51.0,20.0,59.0,63.0,63.0,,,4.81,3.18,4.67,5.04,4.8100000000000005,5.34,4.44,4.06,4.970000000000001,3.62,,,18.0,19.0,14.0,19.0,11.5,14.0,20.0,15.0,13.5,20.0,,,,,,,,,
0,78.0,79.0,66.0,66.0,58.0,70.0,76.0,75.0,,75.0,,,5.82,5.58,5.35,5.47,6.525,7.37,6.42,6.36,,,,,19.0,13.0,16.0,14.0,11.5,15.0,21.0,16.0,,,,,,,,,,,
0,80.0,87.0,93.0,87.0,97.0,86.0,76.0,,,,,,7.66,7.82,8.25,8.39,9.08,9.38,9.23,,,,,,22.0,19.0,24.0,19.0,16.0,16.0,15.0,,,,,,,,,,,,
0,100.0,100.0,100.0,100.0,89.0,100.0,100.0,100.0,,,,,8.0,6.76,7.94,8.48,7.95,7.82,8.42,8.46,,,,,13.0,20.0,23.0,18.0,15.0,20.0,16.0,14.0,,,,,,,,,,,
0,87.0,59.0,64.0,76.0,80.0,80.0,65.0,60.0,,,,,8.11,5.66,7.81,6.98,6.81,6.73,7.38,7.44,,,,,17.0,19.0,21.0,22.0,21.0,19.0,16.0,15.0,,,,,,,,,,,
0,100.0,77.0,77.0,98.0,100.0,81.0,70.0,,63.0,63.0,,,6.25,6.42,6.91,8.27,8.2,8.23,7.84,,,,,,22.0,19.0,12.0,14.0,20.0,23.0,14.0,,,,,,,,,,,,
0,62.0,60.0,34.0,81.0,55.0,64.0,66.0,,63.0,63.0,55.0,70.0,6.09,6.29,7.69,7.45,7.56,8.09,7.75,,,,,,22.0,19.0,21.0,24.0,29.0,29.0,6.5,,,,,,,,,,,,
0,77.0,74.0,89.0,88.0,96.0,84.0,74.0,85.0,,,,,5.64,4.94,6.33,7.26,5.915,6.85,7.175000000000001,8.99,,,,,22.0,18.0,21.0,18.0,10.5,16.0,10.0,11.0,,,,,,,,,,,
1,68.0,62.0,82.0,45.0,,20.0,,,,,,,5.97,4.35,6.405,1.01,,,,,,,,,17.0,20.0,13.5,19.0,,,,,,,,,,Bị cảnh cáo vì ĐTB và trễ học phí,,,,,
1,82.0,76.0,17.0,54.0,16.0,,,,63.0,,,,5.83,4.0,3.25,2.73,,,,,4.5,,,,18.0,13.0,26.0,20.0,,,,,24.0,,,,,,,,,,
0,72.0,66.0,66.0,78.0,51.0,54.0,79.0,78.0,,80.0,50.0,50.0,5.69,4.32,5.98,5.63,6.355,6.83,6.050000000000001,5.66,,,,,13.0,24.0,24.0,20.0,13.5,16.0,10.5,17.0,,,,,,,,,,,
0,77.0,71.0,71.0,53.0,52.0,79.0,80.0,79.0,64.0,74.0,65.0,,6.33,3.96,3.92,5.12,3.1550000000000002,3.95,5.62,5.93,4.91,4.85,6.33,,24.0,19.0,24.0,18.0,13.5,16.0,15.5,21.0,7.5,14.0,7.5,,,,,,,,
0,77.0,96.0,80.0,80.0,76.0,85.0,86.0,,,,,,7.22,6.0,6.69,7.24,6.27,6.85,6.68,,,,,,17.0,21.0,22.0,24.0,19.0,17.0,17.0,,,,,,True,,,,,,
0,91.0,71.0,54.0,80.0,85.0,73.0,80.0,75.0,,,,,8.19,7.31,6.75,7.06,6.92,7.83,7.9,7.24,,,,,15.0,15.0,28.0,18.0,20.0,19.0,21.0,7.0,,,,,,,,,,,
0,100.0,93.0,100.0,96.0,94.0,87.0,69.0,78.0,,,,,7.5,7.35,8.280000000000001,8.09,8.89,7.91,8.85,7.87,,,,,19.0,10.0,9.5,17.0,10.0,15.0,7.0,13.0,,,,,,,,,,,
0,77.0,57.0,66.0,70.0,86.0,85.0,76.0,75.0,82.0,50.0,,,7.03,5.91,6.33,7.55,7.96,7.28,8.1,7.81,7.97,,,,13.0,19.0,22.0,19.0,18.0,18.0,15.0,15.0,10.0,,,,,,,,,,
1,83.0,78.0,75.0,76.0,69.0,74.0,81.0,75.0,,75.0,50.0,50.0,7.24,7.25,7.01,7.57,7.23,5.11,8.07,4.98,,,,,17.0,20.0,22.0,21.0,16.0,15.0,24.0,19.0,,,,,,,,,,,
0,66.0,76.0,82.0,63.0,70.0,68.0,80.0,79.0,65.0,75.0,61.0,,4.26,3.81,5.005,3.92,4.745,4.78,5.345,5.03,6.23,6.18,6.93,,17.0,19.0,15.0,21.0,11.5,17.0,11.0,24.0,11.5,13.0,22.0,,,Bị cảnh cáo vì đóng học phí trễ,,,,,
0,79.0,63.0,70.0,63.0,62.0,66.0,60.0,60.0,,70.0,,,7.65,5.93,7.52,6.7,6.46,6.28,6.96,7.15,,,,,17.0,21.0,20.0,21.0,9.0,18.0,24.0,13.0,,,,,,,,,,,
1,100.0,98.0,100.0,80.0,,,,,,,,,7.75,3.0,6.54,2.07,,,,,,,,,17.0,20.0,23.0,23.0,,,,,,,,,True,,Bị cảnh cáo vì ĐTB và trễ học phí,,,,
1,85.0,56.0,43.0,59.0,76.0,75.0,79.0,79.0,73.0,,58.0,,7.1,1.25,5.37,4.59,5.755000000000001,8.1,5.96,5.63,6.85,,,,13.0,17.0,22.0,21.0,14.0,8.0,14.5,24.0,17.0,,,,,,,,,,
0,95.0,85.0,89.0,79.0,100.0,95.0,90.0,,95.0,,,,8.53,6.85,7.4,7.27,7.53,8.03,8.21,,,,,,17.0,24.0,26.0,15.0,16.0,16.0,20.0,,,,,,,,,,,,
0,100.0,96.0,85.0,91.0,90.0,72.0,64.0,75.0,,,,,7.0,7.32,8.1,8.83,7.86,8.04,7.9,8.18,,,,,22.0,19.0,21.0,19.0,16.0,15.0,15.0,11.0,,,,,,,,,,,
0,100.0,88.0,100.0,100.0,95.0,100.0,100.0,,100.0,,,,9.11,7.37,7.6,7.09,7.78,7.42,7.64,,,,,,15.0,19.0,22.0,28.0,20.0,20.0,15.0,,,,,,,,,,,,
0,95.0,93.0,85.0,85.0,70.0,85.0,90.0,,,,,,8.35,7.25,7.13,7.65,7.87,8.31,8.91,,,,,,17.0,23.0,19.0,22.0,17.0,19.0,9.0,,,,,,,,,,,,
0,94.0,81.0,81.0,84.0,80.0,59.0,62.0,70.0,,,,,6.64,6.38,6.94,5.34,8.05,3.77,6.79,7.18,,,,,18.0,21.0,19.0,27.0,6.0,26.0,26.0,22.0,,,,,,,,,,,
0,73.0,80.0,84.0,60.0,84.0,54.0,66.0,,,,,,6.14,4.73,7.28,5.76,4.795,4.6,7.295,,,,,,22.0,15.0,25.0,22.0,15.0,16.0,14.0,,,,,,,,,,,,
0,86.0,86.0,69.0,83.0,98.0,84.0,76.0,,,,,,7.16,8.02,8.23,8.64,8.78,9.63,9.6,,,,,,22.0,22.0,20.0,18.0,22.0,16.0,7.0,,,,,,,,,,,,
1,83.0,69.0,71.0,,,,,,,,,,2.44,0.31,1.64,,,,,,,,,,19.0,13.0,14.0,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,70.0,73.0,85.0,80.0,80.0,85.0,90.0,99.0,,,,,6.93,4.84,6.89,6.98,7.04,6.82,8.11,7.95,,,,,19.0,19.0,24.0,24.0,18.0,20.0,20.0,13.0,,,,,True,,,,,,
0,85.0,88.0,80.0,90.0,90.0,85.0,74.0,77.0,,,,,4.96,5.04,6.66,6.2,6.345,7.2,6.140000000000001,6.05,,,,,17.0,19.0,23.0,22.0,14.0,20.0,11.5,19.0,,,,,True,,,,,,
0,69.0,82.0,88.0,67.0,67.0,74.0,64.0,66.0,,,,,5.05,5.08,6.4,4.77,6.75,3.46,4.925,6.75,,,,,22.0,19.0,17.0,20.0,21.0,23.0,15.0,23.0,,,,,,,,,,,
0,80.0,57.0,89.0,68.0,64.0,80.0,80.0,80.0,,70.0,,,7.12,5.88,7.66,8.05,7.63,7.53,8.52,9.19,,,,,17.0,24.0,20.0,22.0,14.0,21.0,17.0,8.0,,,,,,,,,,,
0,100.0,92.0,100.0,93.0,89.0,98.0,96.0,75.0,,,,,7.71,8.04,6.96,6.94,7.85,7.06,8.61,7.96,,,,,17.0,22.0,25.0,20.0,13.0,15.0,17.0,14.0,,,,,,,,,,,
0,93.0,86.0,97.0,78.0,71.0,75.0,95.0,75.0,,70.0,,,7.47,6.26,8.15,7.11,7.79,7.94,8.25,7.78,,,,,17.0,20.0,22.0,22.0,17.0,18.0,14.0,14.0,,,,,,,,,,,
1,95.0,100.0,100.0,100.0,96.0,93.0,90.0,90.0,,75.0,50.0,50.0,7.54,7.39,7.33,8.54,8.49,8.48,8.35,7.84,,,,,13.0,22.0,24.0,23.0,22.0,18.0,14.0,7.0,,,,,,,,,,,
0,79.0,70.0,66.0,83.0,69.0,72.0,64.0,70.0,,,,,6.0,3.21,4.045,6.9,7.585000000000001,7.12,7.4,8.56,,,,,22.0,19.0,16.5,23.0,14.0,19.0,11.0,14.0,,,,,,,,,,,
1,64.0,73.0,69.0,75.0,64.0,79.0,90.0,95.0,60.0,70.0,58.0,,5.2,3.52,5.24,7.07,7.675,7.99,8.14,7.74,4.6,,7.0,,20.0,19.0,22.0,19.0,12.0,23.0,12.0,13.0,6.0,,2.0,,,Được xem xét hạ mức,,,,,
0,60.0,74.0,85.0,73.0,68.0,68.0,76.0,75.0,,70.0,50.0,50.0,8.26,7.5,8.18,7.82,8.08,7.59,7.05,6.74,,,,,17.0,26.0,23.0,23.0,21.0,21.0,17.0,10.0,,,,,,,,,,,
0,85.0,72.0,79.0,90.0,90.0,83.0,75.0,85.0,53.0,58.0,,,7.37,6.88,8.21,8.21,8.13,7.64,5.9,7.41,,,,,17.0,21.0,22.0,18.0,16.0,18.0,17.0,17.0,,,,,,,,,,,
0,93.0,82.0,89.0,83.0,90.0,91.0,64.0,,,,,,6.86,7.2,8.15,8.12,7.6,8.26,8.5,,,,,,22.0,22.0,23.0,17.0,16.0,20.0,12.0,,,,,,,,,,,,
1,81.0,59.0,54.0,51.0,71.0,69.0,44.0,,36.0,,,,6.21,4.12,7.220000000000001,6.59,5.890000000000001,7.55,7.845000000000001,,,,,,19.0,13.0,9.5,17.0,10.0,15.0,7.0,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,30.0,29.0,28.0,,,,,,,,,,3.78,1.78,4.92,,,,,,,,,,17.0,19.0,20.0,,,,,,,,,,True,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,87.0,51.0,82.0,71.0,69.0,65.0,86.0,95.0,,70.0,,,6.91,6.63,7.59,7.48,7.13,7.51,7.69,8.27,,,,,17.0,21.0,21.0,17.0,15.0,18.0,17.0,6.0,,,,,,,,,,,
0,100.0,96.0,80.0,90.0,90.0,100.0,100.0,,85.0,,,,8.73,8.33,8.34,8.46,7.82,8.18,8.67,,,,,,13.0,23.0,22.0,18.0,20.0,20.0,15.0,,,,,,,,,,,,
0,81.0,76.0,75.0,91.0,77.0,71.0,64.0,70.0,,70.0,,,5.41,7.07,7.055,8.32,7.86,8.09,6.92,7.8,,,,,22.0,15.0,15.5,16.0,14.0,14.0,21.0,11.0,,,,,,,,,,,
1,90.0,79.0,66.0,,50.0,,,,,,,,6.77,5.76,3.96,,,,,,,,,,21.0,22.0,24.0,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,83.0,80.0,68.0,78.0,80.0,80.0,86.0,85.0,50.0,,63.0,,7.23,6.51,8.76,7.31,8.39,8.35,8.915,7.06,,,,,16.0,15.0,11.5,18.0,16.0,13.0,10.0,7.0,,,,,,,,,,,
0,66.0,64.0,89.0,72.0,67.0,68.0,80.0,74.0,65.0,75.0,,,4.88,6.17,7.515000000000001,6.68,6.15,5.2,5.215,5.6,7.76,5.02,,,17.0,24.0,15.5,22.0,17.0,19.0,9.5,11.0,13.0,11.0,,,,,,,,,
0,62.0,58.0,71.0,63.0,71.0,50.0,31.0,39.0,,63.0,,,5.44,4.75,5.63,5.88,7.06,6.07,7.2,5.52,,,,,18.0,18.0,23.0,15.0,26.0,24.0,8.5,20.0,,,,,,,,,,,
0,58.0,71.0,64.0,76.0,90.0,90.0,81.0,,92.0,58.0,53.0,,7.55,7.35,7.35,7.0,8.41,8.25,8.03,,,,,,17.0,22.0,19.0,20.0,22.0,16.0,16.0,,,,,,,,,,,,
0,85.0,76.0,78.0,100.0,85.0,100.0,85.0,,50.0,,,,7.25,5.87,6.12,7.35,7.24,7.31,6.32,,,,,,17.0,22.0,24.0,20.0,20.0,21.0,19.0,,,,,,,,,,,,
0,57.0,34.0,19.0,2.0,45.0,67.0,36.0,60.0,78.0,,55.0,,3.7,1.5,2.375,1.3,5.76,6.08,5.885,4.93,6.665,,,,22.0,20.0,13.0,14.0,20.0,21.0,14.0,27.0,16.0,,,,,,,,,,
0,94.0,80.0,100.0,79.0,86.0,82.0,95.0,,60.0,65.0,,,8.12,7.77,7.73,7.57,8.32,7.34,7.97,,,,,,13.0,21.0,28.0,16.0,19.0,18.0,15.0,,,,,,,,,,,,
0,83.0,84.0,84.0,76.0,66.0,78.0,80.0,75.0,,,,,8.18,8.28,7.9,7.86,7.93,8.29,8.37,8.39,,,,,17.0,19.0,22.0,22.0,16.0,15.0,14.0,14.0,,,,,,,,,,,
0,68.0,86.0,100.0,91.0,64.0,90.0,85.0,80.0,,,,,7.71,7.55,8.13,8.32,8.36,7.91,8.51,8.37,,,,,17.0,19.0,24.0,21.0,16.0,17.0,14.0,11.0,,,,,,,,,,,
0,78.0,73.0,81.0,79.0,64.0,58.0,95.0,75.0,,,,,6.74,7.05,6.375,7.76,7.53,6.78,6.8,7.8,,,,,17.0,17.0,13.5,19.0,16.0,20.0,20.0,12.0,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,79.0,63.0,49.0,64.0,56.0,50.0,,,,,,,4.83,4.3,4.05,3.69,3.62,3.42,,,,,,,24.0,24.0,24.0,15.0,23.0,24.0,,,,,,,,Bị cảnh cáo vì ĐTB 2 học kỳ liên tiếp < 4,,,,,
0,69.0,62.0,63.0,57.0,60.0,50.0,68.0,68.0,,70.0,,,7.44,7.15,6.65,7.45,7.84,6.73,6.42,9.32,,,,,17.0,25.0,23.0,17.0,15.0,17.0,9.5,14.0,,,,,,,,,,,
0,100.0,100.0,77.0,93.0,95.0,95.0,86.0,95.0,,,,,9.17,8.77,8.76,8.63,7.9,8.24,9.25,8.59,,,,,19.0,23.0,22.0,15.0,18.0,15.0,12.0,7.0,,,,,,,,,,,
0,80.0,68.0,41.0,70.0,66.0,66.0,64.0,63.0,71.0,70.0,,,6.45,6.47,6.62,6.64,5.5,7.35,6.97,7.38,4.4,0.0,,,22.0,19.0,21.0,23.0,16.0,19.0,16.0,12.0,13.0,3.0,,,,,,,,,
0,69.0,79.0,84.0,63.0,66.0,64.0,76.0,,60.0,70.0,50.0,50.0,7.65,6.36,7.34,7.23,7.78,7.41,7.47,,,,,,13.0,19.0,26.0,18.0,22.0,17.0,16.0,,,,,,,,,,,,
1,99.0,97.0,100.0,88.0,88.0,76.0,64.0,78.0,,63.0,,,7.29,8.04,8.64,8.09,8.425,7.4,8.785,7.86,,,,,19.0,13.0,9.5,14.0,10.0,15.0,7.0,13.0,,,,,,,,,,,
0,87.0,94.0,85.0,75.0,82.0,73.0,86.0,,,,,,8.18,8.15,7.95,8.03,8.68,7.52,8.61,,,,,,17.0,22.0,24.0,19.0,19.0,18.0,15.0,,,,,,,,,,,,
0,74.0,80.0,82.0,78.0,69.0,69.0,76.0,80.0,,,,,6.24,5.65,7.46,6.45,7.545,5.29,8.5,8.01,,,,,17.0,20.0,25.0,18.0,10.5,22.0,10.0,16.0,,,,,,,,,,,
0,78.0,83.0,92.0,66.0,69.0,83.0,85.0,85.0,,70.0,,,7.56,7.52,7.0,8.37,7.66,7.75,7.73,7.59,,,,,17.0,25.0,27.0,18.0,17.0,19.0,14.0,8.0,,,,,,,,,,,
0,98.0,80.0,83.0,90.0,75.0,82.0,70.0,,71.0,65.0,55.0,65.0,7.11,6.05,7.35,7.81,7.3,8.4,7.99,,,,,,18.0,21.0,22.0,19.0,22.0,14.0,11.0,,,,,,,,,,,,
0,90.0,100.0,99.0,88.0,84.0,80.0,,,,,,,7.06,7.3,7.99,7.76,8.28,8.0,,,,,,,17.0,24.0,27.0,20.0,20.0,20.0,,,,,,,,,,,,,
1,72.0,79.0,85.0,70.0,,,,,,,,,5.32,5.21,5.43,4.84,,,,,,,,,19.0,17.0,12.0,20.0,,,,,,,,,True,Bị cảnh cáo vì ĐTB và trễ học phí,,,,,
0,72.0,61.0,78.0,64.0,64.0,71.0,76.0,75.0,,,,,6.82,6.18,7.94,6.61,7.14,8.25,7.46,7.47,,,,,17.0,22.0,21.0,20.0,16.0,16.0,16.0,9.0,,,,,,,,,,,
0,93.0,70.0,70.0,82.0,90.0,85.0,86.0,,,,,,8.02,6.6,8.03,7.82,7.905,8.7,8.19,,,,,,19.0,15.0,24.0,17.0,10.5,21.0,21.0,,,,,,,,,,,,
0,94.0,79.0,66.0,93.0,90.0,90.0,76.0,80.0,,,,,8.13,7.55,8.64,7.46,7.34,6.35,8.58,7.77,,,,,17.0,22.0,17.0,24.0,20.0,23.0,9.0,15.0,,,,,,,,,,,
1,79.0,83.0,88.0,63.0,39.0,,,,,,,,3.12,5.85,5.52,1.39,1.875,,,,,,,,13.0,22.0,15.5,24.0,11.5,,,,,,,,,,,,,,
0,69.0,78.0,90.0,90.0,86.0,100.0,100.0,,,,,,7.97,8.24,7.78,8.75,8.7,8.84,8.25,,,,,,17.0,19.0,24.0,22.0,16.0,22.0,15.0,,,,,,True,,,,,,
1,84.0,60.0,76.0,,,,,,,,,,4.76,0.69,2.29,,,,,,,,,,17.0,23.0,18.0,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,91.0,73.0,78.0,62.0,88.0,70.0,64.0,68.0,,70.0,,,6.25,4.42,7.27,6.69,6.63,8.15,7.34,7.53,,,,,22.0,19.0,24.0,26.0,18.0,15.0,15.0,11.0,,,,,,,,,,,
0,93.0,99.0,86.0,95.0,95.0,100.0,100.0,95.0,,,,,8.73,7.92,8.68,8.69,9.02,8.48,9.12,8.97,,,,,17.0,17.0,24.0,19.0,16.0,15.0,20.0,9.0,,,,,,,,,,,
0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,7.45,6.67,7.3,8.4,7.97,8.49,,,,,,,15.0,23.0,22.0,24.0,23.0,17.0,,,,,,,True,,,,,,
0,72.0,90.0,80.0,90.0,95.0,80.0,90.0,96.0,,,,,7.73,7.73,8.12,9.28,7.49,7.74,8.44,8.57,,,,,15.0,21.0,24.0,15.0,18.0,23.0,17.0,15.0,,,,,False,,,,,,
1,67.0,58.0,34.0,29.0,71.0,58.0,,,,,,,4.05,2.07,3.665,2.78,4.57,3.53,,,,,,,13.0,23.0,12.5,21.0,7.5,12.0,,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB 2 học kỳ liên tiếp < 4,,,,
0,84.0,82.0,98.0,92.0,96.0,82.0,67.0,68.0,,,,,6.64,6.71,7.56,8.62,6.55,6.74,7.61,7.36,,,,,22.0,19.0,25.0,22.0,17.0,15.0,15.0,14.0,,,,,,,,,,,
0,94.0,74.0,69.0,80.0,85.0,90.0,80.0,90.0,,,,,7.84,7.52,8.99,8.22,8.04,8.62,8.21,8.93,,,,,17.0,19.0,21.0,20.0,16.0,19.0,17.0,8.0,,,,,,,,,,,
1,67.0,54.0,52.0,,,,,,,,,,6.7,2.26,1.76,,,,,,,,,,13.0,14.0,20.0,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,45.0,30.0,,,,,,,,,,,4.59,0.15,,,,,,,,,,,13.0,19.0,,,,,,,,,,,False,,Bị cảnh cáo vì ĐTB và trễ học phí,,,,
0,77.0,61.0,64.0,85.0,80.0,90.0,86.0,85.0,80.0,70.0,,,8.18,7.35,8.02,8.17,7.14,8.71,8.74,9.07,8.08,,,,13.0,21.0,22.0,19.0,18.0,16.0,16.0,9.0,10.0,,,,,,,,,,
1,70.0,73.0,76.0,75.0,68.0,,58.0,,,,,,7.24,7.18,7.97,7.91,5.32,,,,,,,,19.0,21.0,13.5,15.0,14.0,,,,,,,,True,,,,,,
1,88.0,84.0,88.0,77.0,68.0,70.0,60.0,,,,,,7.59,7.82,7.64,6.96,7.82,8.0,7.14,,,,,,17.0,19.0,24.0,18.0,24.0,21.0,18.0,,,,,,,,,,,,
1,74.0,64.0,61.0,,,,,,,,,,4.81,5.15,6.535,,,,,,,,,,19.0,15.0,15.5,,,,,,,,,,True,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,63.0,65.0,73.0,66.0,58.0,27.0,,,,,,,5.35,3.56,5.81,7.29,5.720000000000001,4.83,,,,,,,13.0,16.0,23.0,24.0,15.0,21.0,,,,,,,,,,,,,
0,92.0,80.0,80.0,73.0,31.0,27.0,66.0,71.0,,,,,6.07,7.9,7.08,6.55,7.25,7.21,6.66,6.44,,,,,22.0,20.0,19.0,21.0,26.0,19.0,27.0,14.0,,,,,,,,,,,
1,73.0,50.0,16.0,35.0,46.0,30.0,,,,,,,6.22,5.22,5.21,3.3,1.22,1.26,,,,,,,19.0,17.0,21.0,17.0,15.0,19.0,,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,76.0,64.0,60.0,53.0,82.0,66.0,71.0,66.0,75.0,,60.0,65.0,4.91,3.24,5.37,5.17,6.84,6.69,6.779999999999999,6.62,5.5,,,,22.0,21.0,12.5,22.0,20.0,18.0,12.0,14.0,4.0,,,,,,,,,,
1,53.0,68.0,,,,,,,,,,,2.18,3.2,,,,,,,,,,,15.0,15.0,,,,,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,90.0,85.0,97.0,70.0,62.0,75.0,76.0,75.0,,,,,8.85,7.28,8.5,8.28,7.81,7.84,8.14,7.65,,,,,17.0,26.0,22.0,18.0,15.0,18.0,16.0,10.0,,,,,,,,,,,
0,75.0,83.0,85.0,90.0,85.0,85.0,86.0,100.0,,,,,7.07,7.57,7.46,7.89,6.68,7.61,6.77,8.04,,,,,19.0,21.0,22.0,14.0,17.0,19.0,23.0,11.0,,,,,True,,,,,,
1,78.0,50.0,,,,,,,,,,,6.96,4.45,,,,,,,,,,,19.0,23.0,,,,,,,,,,,,,,,,,
1,78.0,75.0,,,,,,,,,,,4.66,5.3,,,,,,,,,,,20.0,16.0,,,,,,,,,,,True,,,,,,
0,86.0,76.0,75.0,63.0,66.0,68.0,60.0,58.0,60.0,,50.0,50.0,8.54,7.51,7.4,6.18,6.7,6.78,6.415,6.16,,,,,13.0,19.0,26.0,26.0,16.0,24.0,9.5,16.0,,,,,,,,,,,
1,75.0,,66.0,,,,,,,,,,1.2,,1.98,,,,,,,,,,17.0,,13.0,,,,,,,,,,False,,,,,,
0,84.0,54.0,80.0,59.0,83.0,64.0,61.0,51.0,53.0,75.0,,,6.11,4.55,5.83,6.14,6.52,5.53,4.645,7.02,4.165,6.49,,,18.0,22.0,23.0,17.0,19.0,18.0,13.0,18.0,5.5,11.0,,,,,Bị cảnh cáo vì đóng học phí trễ,,,,
0,93.0,86.0,89.0,78.0,88.0,88.0,65.0,72.0,,63.0,,,6.73,6.36,7.08,6.35,7.1,7.64,6.2,6.41,,,,,22.0,22.0,19.0,21.0,15.0,23.0,16.0,17.0,,,,,,,,,,,
1,91.0,90.0,,,,,,,,,,,8.25,6.8,,,,,,,,,,,17.0,21.0,,,,,,,,,,,,,,,,,
1,73.0,79.0,75.0,66.0,54.0,,58.0,,,,,,5.23,3.49,4.87,3.86,4.015,,,,,,,,17.0,21.0,22.0,24.0,11.5,,,,,,,,True,,Bị cảnh cáo vì ĐTB học kỳ,,,,
1,85.0,87.0,73.0,81.0,70.0,75.0,85.0,80.0,,,,,6.49,3.18,5.99,2.52,5.31,4.73,1.61,0.93,,,,,13.0,21.0,14.5,21.0,18.0,15.0,16.0,17.0,,,,,,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,,Được xem xét hạ mức,,
0,100.0,100.0,100.0,100.0,99.0,90.0,64.0,75.0,,63.0,,,7.32,6.32,8.17,8.43,8.16,7.91,7.6,8.32,,,,,22.0,19.0,14.5,17.0,14.0,15.0,15.0,11.0,,,,,,,,,,,
0,99.0,86.0,70.0,81.0,90.0,85.0,86.0,,53.0,,,,8.61,7.02,8.02,7.41,8.67,7.9,7.99,,,,,,19.0,19.0,20.0,17.0,21.0,20.0,18.0,,,,,,,,,,,,
0,81.0,83.0,97.0,85.0,71.0,78.0,80.0,75.0,,,,,6.12,8.03,7.35,6.95,7.38,7.4,6.88,8.26,,,,,17.0,22.0,26.0,22.0,16.0,22.0,18.0,10.0,,,,,,,,,,,
1,80.0,80.0,80.0,74.0,79.0,,53.0,,,,,,4.49,4.99,5.58,5.75,5.75,,,,,,,,16.0,22.0,13.5,23.0,12.0,,,,,,,,False,Bị cảnh cáo vì ĐTB và trễ học phí,,,,,
